date,equity,cash,position_value
2022-10-27,9048.51617999863,9048.51617999863,0.0
2022-10-28,9048.51617999863,9048.51617999863,0.0
2022-10-31,9048.51617999863,9048.51617999863,0.0
2022-11-01,9048.51617999863,9048.51617999863,0.0
2022-11-02,9048.51617999863,9048.51617999863,0.0
2022-11-03,9048.51617999863,9048.51617999863,0.0
2022-11-04,9048.51617999863,9048.51617999863,0.0
2022-11-07,9048.51617999863,9048.51617999863,0.0
2022-11-08,9048.51617999863,9048.51617999863,0.0
2022-11-09,9048.51617999863,9048.51617999863,0.0
2022-11-10,9048.51617999863,9048.51617999863,0.0
2022-11-11,9045.854017251364,4608.916105141716,4436.937912109649
2022-11-14,9177.285273074838,4608.916105141716,4568.369167933121
2022-11-15,9344.97342705651,4608.916105141716,4736.057321914794
2022-11-16,9256.073325617512,9256.073325617512,0.0
2022-11-17,9256.073325617512,9256.073325617512,0.0
2022-11-18,9256.073325617512,9256.073325617512,0.0
2022-11-21,9252.803546049181,3803.170932166552,5449.63261388263
2022-11-22,9241.990782926398,3803.170932166552,5438.819850759846
2022-11-23,9296.054598540315,3803.170932166552,5492.883666373762
2022-11-24,9333.899269470054,3803.170932166552,5530.728337303502
2022-11-25,9371.743940399796,3803.170932166552,5568.573008233243
2022-11-28,9290.648216978921,3803.170932166552,5487.477284812369
2022-11-29,9517.716242557366,3803.170932166552,5714.545310390813
2022-11-30,9539.34176880293,3803.170932166552,5736.170836636378
2022-12-01,9652.875781592153,3803.170932166552,5849.7048494256005
2022-12-02,9560.967295048496,3803.170932166552,5757.796362881944
2022-12-05,9809.660846872506,3803.170932166552,6006.489914705954
2022-12-06,9788.03532062694,3803.170932166552,5984.864388460388
2022-12-07,9706.939597206068,3803.170932166552,5903.768665039516
2022-12-08,9701.533215644675,3803.170932166552,5898.362283478124
2022-12-09,9762.831851064046,9762.831851064046,0.0
2022-12-12,9757.975571155435,1664.1757234729184,8093.799847682518
2022-12-13,9760.513206756674,9760.513206756674,0.0
2022-12-14,9755.664518532481,1674.517478211952,8081.147040320529
2022-12-15,9610.934637336704,9610.934637336704,0.0
2022-12-16,9606.569234156259,2330.8972667478747,7275.671967408384
2022-12-19,9487.429261252626,9487.429261252626,0.0
2022-12-20,9483.45330612561,2856.861427765072,6626.5918783605375
2022-12-21,9492.16435468295,9492.16435468295,0.0
2022-12-22,9492.16435468295,9492.16435468295,0.0
2022-12-23,9492.16435468295,9492.16435468295,0.0
2022-12-26,9492.16435468295,9492.16435468295,0.0
2022-12-27,9492.16435468295,9492.16435468295,0.0
2022-12-28,9492.16435468295,9492.16435468295,0.0
2022-12-29,9492.16435468295,9492.16435468295,0.0
2022-12-30,9488.173628435088,2836.9632153329085,6651.21041310218
2023-01-03,9438.676248616654,2836.9632153329085,6601.713033283745
2023-01-04,9562.41969816274,2836.9632153329085,6725.456482829832
2023-01-05,9760.40921743648,2836.9632153329085,6923.446002103571
2023-01-06,9704.72466514074,2836.9632153329085,6867.761449807833
2023-01-09,9859.40397707335,2836.9632153329085,7022.440761740441
2023-01-10,9816.093769732219,2836.9632153329085,6979.13055439931
2023-01-11,9748.034872481872,2836.9632153329085,6911.071657148963
2023-01-12,9717.09901009535,2836.9632153329085,6880.135794762442
2023-01-13,9809.906597254914,2836.9632153329085,6972.943381922007
2023-01-16,10007.896116528655,2836.9632153329085,7170.932901195746
2023-01-17,10045.01915139248,2836.9632153329085,7208.055936059572
2023-01-18,10051.206323869785,2836.9632153329085,7214.243108536875
2023-01-19,10119.265221120133,2836.9632153329085,7282.3020057872245
2023-01-20,10174.949773415872,2836.9632153329085,7337.986558082963
2023-01-30,10094.516531210917,2836.9632153329085,7257.553315878007
2023-01-31,9964.585909187523,2836.9632153329085,7127.622693854614
2023-02-01,10150.201083506654,2836.9632153329085,7313.2378681737455
2023-02-02,10144.01391102935,2836.9632153329085,7307.050695696442
2023-02-03,9970.773081664829,2836.9632153329085,7133.80986633192
2023-02-06,9725.337848966128,9725.337848966128,0.0
2023-02-07,9725.337848966128,9725.337848966128,0.0
2023-02-08,9725.337848966128,9725.337848966128,0.0
2023-02-09,9725.337848966128,9725.337848966128,0.0
2023-02-10,9725.337848966128,9725.337848966128,0.0
2023-02-13,9725.337848966128,9725.337848966128,0.0
2023-02-14,9725.337848966128,9725.337848966128,0.0
2023-02-15,9725.337848966128,9725.337848966128,0.0
2023-02-16,9725.337848966128,9725.337848966128,0.0
2023-02-17,9725.337848966128,9725.337848966128,0.0
2023-02-20,9725.337848966128,9725.337848966128,0.0
2023-02-21,9725.337848966128,9725.337848966128,0.0
2023-02-22,9725.337848966128,9725.337848966128,0.0
2023-02-23,9725.337848966128,9725.337848966128,0.0
2023-02-24,9725.337848966128,9725.337848966128,0.0
2023-02-27,9725.337848966128,9725.337848966128,0.0
2023-02-28,9721.019177982856,2523.2342058641325,7197.784972118724
2023-03-01,9845.344554773998,2523.2342058641325,7322.110348909865
2023-03-02,9845.344554773998,2523.2342058641325,7322.110348909865
2023-03-03,9917.322404495184,2523.2342058641325,7394.0881986310515
2023-03-06,9904.235522727697,2523.2342058641325,7381.001316863563
2023-03-07,9845.344554773998,2523.2342058641325,7322.110348909865
2023-03-08,9799.540468587787,2523.2342058641325,7276.306262723656
2023-03-09,9707.932296215367,2523.2342058641325,7184.698090351236
2023-03-10,9498.54218793555,2523.2342058641325,6975.307982071418
2023-03-13,9518.172510586783,2523.2342058641325,6994.93830472265
2023-03-14,9367.673370260665,2523.2342058641325,6844.439164396532
2023-03-15,9518.172510586783,2523.2342058641325,6994.93830472265
2023-03-16,9468.19894386945,9468.19894386945,0.0
2023-03-17,9468.19894386945,9468.19894386945,0.0
2023-03-20,9468.19894386945,9468.19894386945,0.0
2023-03-21,9468.19894386945,9468.19894386945,0.0
2023-03-22,9468.19894386945,9468.19894386945,0.0
2023-03-23,9468.19894386945,9468.19894386945,0.0
2023-03-24,9464.676401468618,3593.7724000802446,5870.904001388373
2023-03-27,9439.562758942715,9439.562758942715,0.0
2023-03-28,9439.562758942715,9439.562758942715,0.0
2023-03-29,9436.12658492725,3709.1698924838065,5726.956692443442
2023-03-30,9404.456778333091,3709.1698924838065,5695.286885849285
2023-03-31,9464.341215621982,9464.341215621982,0.0
2023-04-03,9460.830335126364,3609.362842429555,5851.467492696809
2023-04-04,9445.029792841855,3609.362842429555,5835.6669504123
2023-04-06,9375.101911315549,3938.046045479383,5437.055865836165
2023-04-07,9681.474845671073,9681.474845671073,0.0
2023-04-10,9677.294599382281,2710.217451397637,6967.077147984644
2023-04-11,9752.614352333469,2710.217451397637,7042.396900935831
2023-04-12,9802.827520967588,2710.217451397637,7092.610069569952
2023-04-13,9689.847891540812,2710.217451397637,6979.630440143175
2023-04-14,9689.847891540812,2710.217451397637,6979.630440143175
2023-04-17,9937.815080833292,1549.2880812196527,8388.52699961364
2023-04-18,9884.928566897062,1783.0595481280616,8101.869018769
2023-04-19,9800.240040568464,1783.0595481280616,8017.180492440403
2023-04-20,9833.056921874308,2013.6119133886214,7819.445008485687
2023-04-21,9701.083166456829,2013.6119133886214,7687.471253068208
2023-04-24,9741.534443558668,2413.693888715473,7327.840554843196
2023-04-25,9761.555865839659,2413.693888715473,7347.8619771241865
2023-04-26,9777.15655808101,9777.15655808101,0.0
2023-04-27,9772.672966692224,2300.0206520490756,7472.652314643148
2023-04-28,9903.482286956596,9903.482286956596,0.0
2023-05-04,9903.482286956596,9903.482286956596,0.0
2023-05-05,9903.482286956596,9903.482286956596,0.0
2023-05-08,9903.482286956596,9903.482286956596,0.0
2023-05-09,9903.482286956596,9903.482286956596,0.0
2023-05-10,9903.482286956596,9903.482286956596,0.0
2023-05-11,9903.482286956596,9903.482286956596,0.0
2023-05-12,9898.590342557896,1745.3496780587748,8153.2406644991215
2023-05-15,9943.987005500541,1745.3496780587748,8198.637327441767
2023-05-16,10015.439882354547,1193.9304651638195,8821.509417190728
2023-05-17,10033.105873869703,10033.105873869703,0.0
2023-05-18,10027.785623116406,1160.7010342869526,8867.084588829453
2023-05-19,10022.465372363109,10022.465372363109,0.0
2023-05-22,10022.465372363109,10022.465372363109,0.0
2023-05-23,10017.180634908636,1209.2848774548856,8807.89575745375
2023-05-24,9893.740044836724,9893.740044836724,0.0
2023-05-25,9888.879910761192,1788.656451539172,8100.223459222019
2023-05-26,9854.474655061036,9854.474655061036,0.0
2023-05-29,9849.742191154755,1962.302347351454,7887.439843803301
2023-05-30,9887.39106869081,1962.302347351454,7925.088721339355
2023-05-31,9689.734461626525,1962.302347351454,7727.432114275071
2023-06-01,9774.444436082647,1962.302347351454,7812.142088731193
2023-06-02,9967.295163929453,9967.295163929453,0.0
2023-06-05,9967.295163929453,9967.295163929453,0.0
2023-06-06,9967.295163929453,9967.295163929453,0.0
2023-06-07,9967.295163929453,9967.295163929453,0.0
2023-06-08,9962.193543303234,1459.4924996029931,8502.701043700241
2023-06-09,9967.380917195485,1412.137591737186,8555.2433254583
2023-06-12,9796.07451374108,1412.137591737186,8383.936922003893
2023-06-13,9786.50230975956,2216.765929231422,7569.736380528138
2023-06-14,9770.60607277384,2288.2271787048558,7482.378894068984
2023-06-15,9879.39462644903,1809.7617893663664,8069.632837082662
2023-06-16,9930.055998520402,1809.7617893663664,8120.294209154034
2023-06-19,9828.733254377657,1809.7617893663664,8018.971465011292
2023-06-20,9763.59720457161,1809.7617893663664,7953.835415205243
2023-06-21,9662.274460428867,1809.7617893663664,7852.512671062501
2023-06-26,9510.290344214754,1809.7617893663664,7700.528554848389
2023-06-27,9589.901071755481,1809.7617893663664,7780.139282389114
2023-06-28,9575.426394020804,1809.7617893663664,7765.6646046544365
2023-06-29,9539.239699684109,1809.7617893663664,7729.477910317743
2023-06-30,9640.562443826853,1809.7617893663664,7830.800654460486
2023-07-03,9758.824903322486,9758.824903322486,0.0
2023-07-04,9758.824903322486,9758.824903322486,0.0
2023-07-05,9758.824903322486,9758.824903322486,0.0
